0	5.0	5.0
1	5.0	5.0
2	5.0	5.0
3	5.0	5.0
4	5.0	5.0
5	5.0	5.0
6	5.0	5.0
7	5.0	5.0
8	5.0	5.0
9	5.0	5.0
10	5.0	5.0
11	5.0	5.0
12	5.0	5.0
13	5.0	5.0
14	5.0	5.0
15	5.0	5.0
16	5.0	5.0
17	5.0	5.0
18	5.0	5.0
19	5.0	5.0
20	5.0	5.0
21	5.0	5.0
22	5.0	5.0
23	5.0	5.0
24	5.0	5.0
25	5.0	5.0
26	5.0	5.0
27	5.0	5.0
28	5.0	5.0
29	5.0	5.0
30	5.0	5.0
31	5.0	5.0
32	5.0	5.0
33	5.0	5.0
34	5.0	5.0
35	5.0	5.0
36	5.0	5.0
37	5.0	5.0
38	5.0	5.0
39	5.0	5.0
40	5.0	5.0
41	5.0	5.0
42	5.0	5.0
43	5.0	5.0
44	5.0	5.0
45	5.0	5.0
46	5.0	5.0
47	5.0	5.0
48	5.0	5.0
49	5.0	5.0
50	5.0	5.0
51	5.0	5.0
52	5.0	5.0
53	5.0	5.0
54	5.0	5.0
55	5.0	5.0
56	5.0	5.0
57	5.0	5.0
58	5.0	5.0
59	5.0	5.0
60	5.0	5.0
61	5.0	5.0
62	5.0	5.0
63	5.0	5.0
64	5.0	5.0
65	5.0	5.0
66	5.0	5.0
67	5.0	5.0
68	5.0	5.0
69	5.0	5.0
70	5.0	5.0
71	5.0	5.0
72	5.0	5.0
73	5.0	5.0
74	5.0	5.0
75	5.0	5.0
76	5.0	5.0
77	5.0	5.0
78	5.0	5.0
79	5.0	5.0
80	5.0	5.0
81	5.0	5.0
82	5.0	5.0
83	5.0	5.0
84	5.0	5.0
85	5.0	5.0
86	5.0	5.0
87	5.0	5.0
88	5.0	5.0
89	5.0	5.0
90	5.0	5.0
91	5.0	5.0
92	5.0	5.0
93	5.0	5.0
94	5.0	5.0
95	5.0	5.0
96	5.0	5.0
97	5.0	5.0
98	5.0	5.0
99	5.0	5.0
100	5.0	5.0
101	5.0	5.0
102	5.0	5.0
103	5.0	5.0
104	5.0	5.0
105	5.0	5.0
106	5.0	5.0
107	5.0	5.0
108	5.0	5.0
109	5.0	5.0
110	5.0	5.0
111	5.0	5.0
112	5.0	5.0
113	5.0	5.0
114	5.0	5.0
115	5.0	5.0
116	5.0	5.0
117	5.0	5.0
118	5.0	5.0
119	5.0	5.0
120	5.0	5.0
121	5.0	5.0
122	5.0	5.0
123	5.0	5.0
124	5.0	5.0
125	5.0	5.0
126	5.0	5.0
127	5.0	5.0
128	5.0	5.0
129	5.0	5.0
130	5.0	5.0
131	5.0	5.0
132	5.0	5.0
133	5.0	5.0
134	5.0	5.0
135	6.0	5.0
136	6.0	5.0
137	6.0	5.0
138	6.0	5.0
139	6.0	5.0
140	6.0	5.0
141	6.0	5.0
142	6.0	5.0
143	6.0	5.0
144	6.0	5.0
145	6.0	5.0
146	6.0	5.0
147	6.0	5.0
148	6.0	5.0
149	6.0	5.0
150	6.0	5.0
151	6.0	5.0
152	6.0	5.0
153	6.0	5.0
154	6.0	6.0
155	6.0	6.0
156	6.0	6.0
157	6.0	6.0
158	6.0	6.0
159	6.0	6.0
160	6.0	6.0
161	6.0	6.0
162	6.0	6.0
163	6.0	6.0
164	6.0	6.0
165	6.0	6.0
166	6.0	6.0
167	6.0	6.0
168	6.0	6.0
169	6.0	6.0
170	6.0	6.0
171	6.0	6.0
172	6.0	6.0
173	6.0	6.0
174	6.0	6.0
175	6.0	6.0
176	6.0	6.0
177	6.0	6.0
178	6.0	6.0
179	6.0	6.0
180	6.0	6.0
181	6.0	6.0
182	6.0	6.0
183	6.0	6.0
184	6.0	6.0
185	6.0	6.0
186	6.0	6.0
187	6.0	6.0
188	6.0	6.0
189	6.0	6.0
190	6.0	6.0
191	6.0	6.0
192	6.0	6.0
193	6.0	6.0
194	6.0	6.0
195	6.0	6.0
196	6.0	6.0
197	6.0	6.0
198	6.0	6.0
199	6.0	6.0
200	6.0	6.0
201	6.0	6.0
202	6.0	6.0
203	6.0	6.0
204	6.0	6.0
205	6.0	6.0
206	6.0	6.0
207	7.0	6.0
208	7.0	6.0
209	7.0	6.0
210	7.0	6.0
211	7.0	6.0
212	7.0	6.0
213	6.0	6.0
214	6.0	6.0
215	6.0	6.0
216	6.0	6.0
217	6.0	6.0
218	6.0	6.0
219	6.0	6.0
220	6.0	6.0
221	6.0	6.0
222	6.0	6.0
223	6.0	6.0
224	6.0	6.0
225	6.0	6.0
226	6.0	6.0
227	6.0	6.0
