0	6.0	8.0
1	6.0	8.0
2	6.0	8.0
3	6.0	8.0
4	6.0	8.0
5	6.0	8.0
6	6.0	8.0
7	6.0	8.0
8	6.0	8.0
9	6.0	8.0
10	6.0	8.0
11	6.0	8.0
12	6.0	8.0
13	6.0	8.0
14	6.0	8.0
15	6.0	8.0
16	6.0	8.0
17	6.0	8.0
18	6.0	8.0
19	6.0	8.0
20	6.0	8.0
21	6.0	8.0
22	6.0	8.0
23	6.0	8.0
24	6.0	8.0
25	6.0	8.0
26	6.0	8.0
27	6.0	8.0
28	6.0	8.0
29	6.0	8.0
30	6.0	8.0
31	6.0	8.0
32	6.0	8.0
33	6.0	8.0
34	6.0	8.0
35	6.0	8.0
36	6.0	8.0
37	6.0	8.0
38	6.0	8.0
39	6.0	8.0
40	6.0	8.0
41	6.0	8.0
42	6.0	8.0
43	6.0	8.0
44	6.0	8.0
45	6.0	8.0
46	6.0	8.0
47	6.0	8.0
48	6.0	8.0
49	6.0	8.0
50	6.0	8.0
51	6.0	8.0
52	6.0	8.0
53	6.0	8.0
54	6.0	8.0
55	6.0	8.0
56	6.0	8.0
57	6.0	8.0
58	6.0	8.0
59	6.0	8.0
60	6.0	8.0
61	6.0	8.0
62	6.0	8.0
63	6.0	8.0
64	6.0	8.0
65	6.0	8.0
66	6.0	8.0
67	6.0	8.0
68	6.0	8.0
69	6.0	8.0
70	6.0	8.0
71	6.0	8.0
72	6.0	8.0
73	6.0	8.0
74	6.0	8.0
75	6.0	7.0
76	6.0	7.0
77	6.0	7.0
78	6.0	7.0
79	6.0	7.0
80	6.0	7.0
81	6.0	7.0
82	6.0	7.0
83	6.0	7.0
84	6.0	7.0
85	6.0	7.0
86	6.0	7.0
87	6.0	7.0
88	6.0	7.0
89	6.0	7.0
90	6.0	7.0
91	6.0	7.0
92	6.0	7.0
93	6.0	7.0
94	6.0	7.0
95	6.0	7.0
96	6.0	7.0
97	6.0	7.0
98	6.0	7.0
99	6.0	7.0
100	6.0	7.0
101	6.0	7.0
102	6.0	7.0
103	6.0	7.0
104	6.0	7.0
105	6.0	7.0
106	6.0	7.0
107	6.0	7.0
108	6.0	7.0
109	6.0	7.0
110	6.0	7.0
111	6.0	7.0
112	6.0	7.0
113	6.0	7.0
114	6.0	7.0
115	6.0	7.0
116	6.0	7.0
117	6.0	7.0
118	6.0	7.0
119	6.0	7.0
120	6.0	7.0
121	6.0	7.0
122	6.0	7.0
123	6.0	7.0
124	6.0	7.0
125	6.0	7.0
126	6.0	7.0
127	6.0	7.0
128	6.0	7.0
129	6.0	7.0
130	6.0	7.0
131	6.0	7.0
132	6.0	7.0
133	6.0	7.0
134	6.0	7.0
135	6.0	7.0
136	6.0	7.0
137	6.0	7.0
138	6.0	7.0
139	6.0	7.0
140	6.0	7.0
141	6.0	7.0
142	6.0	7.0
143	6.0	7.0
144	6.0	7.0
145	6.0	7.0
146	6.0	7.0
147	6.0	7.0
148	6.0	7.0
149	6.0	7.0
150	6.0	7.0
151	6.0	7.0
152	6.0	7.0
153	6.0	7.0
154	6.0	7.0
155	6.0	7.0
156	6.0	7.0
157	6.0	7.0
158	6.0	7.0
159	6.0	7.0
160	6.0	7.0
161	6.0	7.0
162	6.0	7.0
163	6.0	7.0
164	6.0	7.0
165	6.0	7.0
166	6.0	7.0
167	6.0	7.0
168	6.0	7.0
169	6.0	7.0
170	6.0	7.0
171	6.0	7.0
172	6.0	7.0
173	6.0	7.0
174	6.0	7.0
175	6.0	7.0
176	6.0	7.0
177	6.0	7.0
178	6.0	7.0
179	6.0	7.0
180	6.0	7.0
181	6.0	7.0
182	6.0	7.0
183	6.0	7.0
184	6.0	7.0
185	6.0	7.0
186	6.0	7.0
187	6.0	7.0
188	6.0	7.0
189	6.0	7.0
190	6.0	7.0
191	6.0	7.0
192	6.0	7.0
193	6.0	7.0
194	6.0	7.0
195	6.0	7.0
196	6.0	7.0
