0	1.0	3.0
1	1.0	3.0
2	1.0	3.0
3	1.0	3.0
4	1.0	3.0
5	1.0	3.0
6	1.0	3.0
7	1.0	3.0
8	1.0	3.0
9	1.0	3.0
10	2.0	3.0
11	2.0	3.0
12	2.0	3.0
13	2.0	3.0
14	2.0	3.0
15	2.0	3.0
16	2.0	3.0
17	2.0	3.0
18	2.0	3.0
19	2.0	3.0
20	2.0	3.0
21	2.0	3.0
22	2.0	3.0
23	2.0	3.0
24	2.0	3.0
25	2.0	3.0
26	2.0	3.0
27	2.0	3.0
28	2.0	3.0
29	2.0	3.0
30	2.0	3.0
31	2.0	3.0
32	2.0	3.0
33	2.0	3.0
34	2.0	3.0
35	2.0	3.0
36	2.0	3.0
37	2.0	3.0
38	2.0	3.0
39	2.0	3.0
40	2.0	3.0
41	2.0	3.0
42	2.0	3.0
43	2.0	3.0
44	2.0	3.0
45	2.0	3.0
46	2.0	3.0
47	2.0	3.0
48	2.0	3.0
