0	6.0	7.0
1	6.0	7.0
2	6.0	7.0
3	6.0	7.0
4	6.0	7.0
5	6.0	7.0
6	6.0	7.0
7	6.0	7.0
8	6.0	7.0
9	6.0	7.0
10	6.0	7.0
11	6.0	7.0
12	6.0	7.0
13	6.0	7.0
14	6.0	7.0
15	6.0	7.0
16	6.0	7.0
17	6.0	7.0
18	6.0	7.0
19	6.0	7.0
20	6.0	7.0
21	6.0	7.0
22	6.0	7.0
23	6.0	7.0
24	6.0	7.0
25	6.0	7.0
26	6.0	7.0
27	6.0	7.0
28	5.0	7.0
29	5.0	7.0
30	5.0	7.0
31	5.0	7.0
32	5.0	7.0
33	5.0	7.0
34	5.0	7.0
35	5.0	7.0
36	5.0	7.0
37	5.0	7.0
38	5.0	7.0
39	5.0	7.0
40	5.0	7.0
41	5.0	6.0
42	5.0	6.0
43	5.0	6.0
44	5.0	6.0
45	5.0	6.0
46	5.0	6.0
47	5.0	6.0
48	5.0	6.0
49	5.0	6.0
50	5.0	6.0
51	5.0	6.0
52	5.0	6.0
53	5.0	6.0
54	5.0	6.0
55	5.0	6.0
56	5.0	6.0
57	5.0	6.0
58	5.0	6.0
59	5.0	6.0
60	5.0	6.0
61	5.0	6.0
62	5.0	6.0
63	5.0	6.0
64	5.0	6.0
65	5.0	6.0
66	5.0	6.0
67	5.0	6.0
68	5.0	6.0
69	5.0	6.0
70	5.0	6.0
71	5.0	6.0
72	5.0	6.0
73	5.0	6.0
74	5.0	6.0
75	5.0	6.0
76	5.0	6.0
77	5.0	6.0
78	5.0	6.0
79	5.0	6.0
80	5.0	6.0
81	5.0	6.0
82	5.0	6.0
83	5.0	6.0
84	5.0	6.0
85	5.0	6.0
86	5.0	6.0
87	5.0	6.0
88	5.0	6.0
89	5.0	6.0
90	5.0	6.0
91	5.0	6.0
92	5.0	6.0
93	5.0	6.0
94	5.0	6.0
95	5.0	6.0
96	5.0	6.0
97	5.0	6.0
98	5.0	6.0
99	5.0	6.0
100	5.0	6.0
101	5.0	6.0
102	5.0	6.0
103	5.0	6.0
104	5.0	6.0
105	5.0	6.0
106	5.0	6.0
107	5.0	6.0
108	5.0	6.0
109	5.0	6.0
110	5.0	6.0
111	5.0	6.0
112	5.0	6.0
113	5.0	6.0
114	5.0	6.0
115	5.0	6.0
116	5.0	6.0
117	5.0	6.0
118	5.0	6.0
119	5.0	6.0
120	5.0	6.0
121	5.0	6.0
122	5.0	6.0
123	5.0	6.0
124	5.0	6.0
125	5.0	6.0
126	5.0	6.0
127	5.0	6.0
128	5.0	6.0
129	5.0	6.0
130	5.0	6.0
131	5.0	6.0
132	5.0	6.0
133	5.0	6.0
134	5.0	6.0
135	6.0	6.0
136	6.0	6.0
137	6.0	6.0
138	6.0	6.0
139	6.0	6.0
140	6.0	6.0
141	6.0	6.0
142	6.0	6.0
143	6.0	6.0
144	6.0	6.0
145	6.0	6.0
146	6.0	6.0
147	6.0	6.0
148	6.0	6.0
149	6.0	6.0
150	6.0	6.0
151	6.0	6.0
152	6.0	6.0
153	6.0	6.0
154	6.0	6.0
155	6.0	6.0
156	6.0	6.0
157	6.0	6.0
158	6.0	6.0
159	6.0	6.0
160	6.0	6.0
161	6.0	6.0
162	6.0	6.0
163	6.0	6.0
164	6.0	6.0
165	6.0	6.0
166	6.0	6.0
167	6.0	6.0
168	6.0	6.0
169	6.0	6.0
170	6.0	6.0
171	6.0	6.0
172	6.0	6.0
173	6.0	6.0
174	6.0	6.0
175	6.0	6.0
176	6.0	6.0
177	6.0	6.0
178	6.0	6.0
179	6.0	6.0
180	6.0	6.0
181	6.0	6.0
182	6.0	6.0
183	6.0	6.0
184	6.0	6.0
185	6.0	6.0
186	6.0	7.0
187	6.0	7.0
188	6.0	7.0
189	6.0	7.0
190	6.0	7.0
191	6.0	7.0
192	6.0	7.0
193	6.0	7.0
194	6.0	7.0
195	6.0	7.0
196	6.0	7.0
197	6.0	7.0
198	6.0	7.0
199	6.0	7.0
200	6.0	7.0
201	6.0	7.0
202	6.0	7.0
203	6.0	7.0
204	6.0	7.0
205	6.0	7.0
206	6.0	7.0
207	6.0	7.0
208	6.0	7.0
209	6.0	7.0
210	6.0	7.0
211	6.0	7.0
212	6.0	7.0
213	6.0	7.0
214	6.0	7.0
215	6.0	7.0
216	6.0	7.0
217	6.0	7.0
218	7.0	7.0
219	7.0	7.0
220	7.0	7.0
221	7.0	7.0
222	7.0	7.0
223	7.0	7.0
224	7.0	7.0
225	7.0	7.0
226	7.0	7.0
227	7.0	7.0
228	7.0	7.0
229	7.0	7.0
230	7.0	7.0
231	7.0	7.0
232	7.0	7.0
233	7.0	7.0
234	7.0	7.0
235	7.0	7.0
236	7.0	7.0
237	7.0	7.0
238	7.0	7.0
239	7.0	7.0
240	7.0	7.0
241	7.0	7.0
242	7.0	7.0
243	7.0	7.0
244	7.0	7.0
245	7.0	7.0
246	7.0	7.0
247	7.0	7.0
248	7.0	7.0
249	7.0	7.0
250	7.0	7.0
251	7.0	7.0
252	7.0	7.0
253	7.0	7.0
254	7.0	7.0
255	7.0	7.0
256	7.0	7.0
257	7.0	7.0
258	7.0	7.0
259	7.0	7.0
260	7.0	7.0
261	7.0	7.0
262	7.0	7.0
263	7.0	7.0
264	7.0	7.0
265	7.0	7.0
266	7.0	7.0
267	7.0	7.0
268	7.0	7.0
269	7.0	7.0
270	7.0	7.0
271	7.0	7.0
272	7.0	7.0
273	7.0	7.0
274	7.0	7.0
275	7.0	7.0
276	7.0	7.0
277	7.0	7.0
278	7.0	7.0
279	7.0	7.0
280	7.0	7.0
281	7.0	7.0
282	7.0	7.0
